,age,height,weight,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
long_passing,-0.007227637123742576,-0.1812255467780272,-0.10583806561223032,0.0918867717488733,0.13616427217110189,0.3580616454236612,0.3958130343098704,0.3194457934387387,0.2670662517405492,-0.05510386476199278,0.33933845810391305,-0.07808296683549931,0.12353148710441486,1.0,0.20139121976123628,0.17990555736493738,0.24148470286376217,0.21711334122849538,0.03026921533800632,0.28248192177050907,0.17037276896200468,0.1857843698381255,0.4546250506087091,-0.08807963371893232,0.27837966204122355,0.35729157273422035,0.7864575034266208,0.5685555099029564,0.4839230430420161,0.7763009499953649,0.37494872781063127,0.4153871787961442,0.3129453333778288,0.02656785885720614,0.06032601661337508,0.2352136341038382,0.055629319412000625,0.06362912498660461
ball_control,0.17456153972050156,-0.039307000602907365,-0.01912859800378281,0.2049942931070703,0.1282215648438062,0.21065025309633975,0.2080172223885686,0.17178957527975758,0.2824231175589552,0.08070514819364538,0.3382060885743125,0.1514797803012069,0.12751634240429496,0.20139121976123628,1.0,0.21976295911458907,0.16810945511173078,0.2663872812990109,0.12884154218164637,0.11550632831507383,0.32446493925004793,0.1992627972448374,0.18285450806682818,-0.0017158483865135758,0.15116542975320513,0.19432995355902227,0.08902445928224356,0.11367763240848161,-0.015950624202850254,0.10676929906301028,0.21629591148012883,0.311617511849735,0.22128678189850895,0.210020161430046,0.10229152803548316,0.2569714177624984,0.16417350946135933,0.18184539998053778
acceleration,0.10510540989140302,-0.13582773894505612,-0.2798940422688359,0.3000183502278237,0.26484474251666174,0.05819992227932779,0.02968445172672793,0.05369975576950096,0.12763395805013983,-0.04866008296180122,0.11248286939232473,-0.013149482994124984,0.017123757024350136,0.17990555736493738,0.21976295911458907,1.0,0.7404108979965741,0.4260639327431801,0.1665265142561161,0.302927799283178,0.1452269421761813,0.23213759692500513,0.29825914598291614,-0.0191382539595864,-0.04617447969306815,0.2678987756793091,0.12943213980191756,0.12361753881980511,0.1583332620416668,0.15607545852056498,0.04055166478572125,0.001964291212943579,0.05624343789425094,0.30547798390474046,0.14266166428942664,0.12860299413628107,0.17306166829953462,0.36467714944497065
sprint_speed,0.0680481747669951,-0.14979106006571843,-0.27665086039981396,0.20660256404432129,0.1783509352760022,0.028180067476386707,-0.019763379622157053,0.018840759892524858,0.12808099300157452,-0.12375042787320417,0.08084861996441992,-0.08719323815778444,0.024659570881029592,0.24148470286376217,0.16810945511173078,0.7404108979965741,1.0,0.4138217949385828,0.0974372230042038,0.34397695687114344,0.053362371071137144,0.1567856468020134,0.36775621502476524,0.01088903639653082,-0.05768364987037648,0.28267438002492723,0.20381553299856903,0.07371073747980124,0.21214576326108453,0.23438430467124996,-0.012329065650929654,-0.049661211068403974,-0.026006909078612153,0.24914961104694133,0.045096063254533816,0.17581365904159846,0.0900874533506784,0.2537304578778372
agility,0.1607317162674337,-0.20862816245909208,-0.18317181360581872,0.3075705478601064,0.2213445156874301,0.04725429663165976,0.02125627710363669,0.0707263349967309,0.2022417561531649,0.016868978330024872,0.07666375361375821,-0.08623005339019973,-0.014232540988199333,0.21711334122849538,0.2663872812990109,0.4260639327431801,0.4138217949385828,1.0,0.37211717298072794,0.24582749921554597,0.11468586663825293,0.5259443057278719,0.21313741038241754,-0.028853855584962954,-0.03975561527313096,0.22178080727015945,0.12201781398467935,0.11167892305507604,0.1430467493276649,0.14030585159828024,-0.007972548042164669,0.04306154162157607,0.11339614015053481,0.3233942902497981,0.12876838713869734,0.18397920837261095,0.14612855097702745,0.3456999234439391
reactions,0.30316994149119253,-0.11604987072349145,-0.09108708998540209,0.560920182136732,0.4072214037951662,0.007518022025131,0.05574618108909975,0.01326329664252523,0.061778453379621574,0.06879130329561546,0.11444432226257426,0.015359863194322431,-0.03308725860323686,0.03026921533800632,0.12884154218164637,0.1665265142561161,0.0974372230042038,0.37211717298072794,1.0,-0.08267642276249763,0.12765499474199762,0.4455622984549534,0.07464006130330242,0.23223508960463934,-0.02176349131060273,0.15472150611714922,0.06553611126713334,-0.0016849719544723557,0.19341320367192097,-0.06060573050820748,-0.0028915990714620476,0.094268245946637,0.10106890188941672,0.40535279839263116,0.41126902862332076,0.3284673465667679,0.42019591833082587,0.4617546976271354
balance,0.11263451799782821,-0.37516293404278195,-0.22850133553890847,-0.0955303577049778,-0.10089859016911461,-0.012045585674715632,0.050776627725555495,0.03436051214715706,0.1013721929320521,-0.1264511919957717,0.07167135141288113,-0.06598959398355138,0.00198875355400344,0.28248192177050907,0.11550632831507383,0.302927799283178,0.34397695687114344,0.24582749921554597,-0.08267642276249763,1.0,0.13017726334524418,0.2073722389315431,0.2600115589649242,-0.04080252473076138,-0.026685660662870436,0.18958001411998537,0.21052804825651114,0.18230714603298226,0.1931343031980214,0.260926481862593,0.014908688321159689,0.03850269548004478,0.04043270009829333,-0.09025535812031386,-0.09172080884233608,-0.0793434161311079,-0.16914844094960887,-0.04716090186550034
shot_power,0.019338756172382243,0.07309369575937237,0.12765834011645472,0.10542340405157591,0.05738036176839696,0.16990101553484988,0.20622028437028656,0.21126668953905547,0.1239880044347429,0.09450855588557386,0.2322264708992392,0.07916830487120795,0.05359376233235685,0.17037276896200468,0.32446493925004793,0.1452269421761813,0.053362371071137144,0.11468586663825293,0.12765499474199762,0.13017726334524418,1.0,0.014945801237150145,0.06653626854528238,0.04423703883191733,0.11896120457789192,0.11647919849844907,0.06948769806056544,0.1755791484887649,-0.05437167713563013,0.13523452023663105,0.1731939286048125,0.21762841153616905,0.20403508722487954,0.045127495421218494,0.0664824706273119,0.08110122921324278,0.11484299020200499,0.07537966781122794
jumping,0.2453401779616505,-0.19086633934391542,-0.08341025019217324,0.44078537193253287,0.30735910139063044,0.06316685894082821,0.02352722003080403,0.07293028146133144,0.1805972010204534,0.00601890001849949,0.0887970381047228,-0.01957652846156444,0.03709928492331355,0.1857843698381255,0.1992627972448374,0.23213759692500513,0.1567856468020134,0.5259443057278719,0.4455622984549534,0.2073722389315431,0.014945801237150145,1.0,0.22278643830828948,0.01692930791462464,0.022964244385186322,0.16285813534310942,0.13118261469498396,0.1314093787662928,0.2006962760020571,0.08677841960654101,0.04012437600618318,0.18288276726465216,0.17492493906821513,0.42789433863965587,0.31722730486615597,0.198165084240106,0.266250044330156,0.43654819429914143
stamina,0.04752671549507001,-0.17137391447732392,-0.12741328182179562,0.09904072457371764,0.18236240071050971,0.04193783681255389,0.036417875619671934,-0.03683708354056497,0.08786230100886869,-0.25204101851488764,0.007930160111124252,-0.19317642911413005,0.015772764938624208,0.4546250506087091,0.18285450806682818,0.29825914598291614,0.36775621502476524,0.21313741038241754,0.07464006130330242,0.2600115589649242,0.06653626854528238,0.22278643830828948,1.0,0.037629708830777375,-0.11229506068177247,0.4986536632978738,0.411740538318998,0.28070049740370306,0.2981777943026613,0.42675049629669537,0.022912383920827718,0.048824799297800904,0.054580689118377,0.05874108614667295,0.049109826244102435,0.10132254949941724,0.06236135445816992,0.04852116221805766
strength,0.10581728206121994,0.24841680313479797,0.24941658942119585,0.2180391029376864,0.2467862539326453,-0.0021702846346531423,0.006006004015175982,-0.033478252658111295,-0.051480781902051145,0.051653656927845064,-0.03358925496347927,0.01002085754113356,0.032825066480715016,-0.08807963371893232,-0.0017158483865135758,-0.0191382539595864,0.01088903639653082,-0.028853855584962954,0.23223508960463934,-0.04080252473076138,0.04423703883191733,0.01692930791462464,0.037629708830777375,1.0,-0.00586691592937386,0.08467662842822858,0.025221573579802745,-0.07528111275083073,-0.05844779064702959,-0.06401182702631687,-0.07275233108160474,-0.08450538198432503,-0.01873232071114063,0.14937841938460236,0.12961713154848412,0.14141227746659643,0.21198835141295827,0.12526943632774587
long_shots,-0.2161152223957665,0.1366120172088884,0.11338026648057947,0.0251112269666915,0.06895444025774533,0.7979167731158218,0.7670495614440901,0.7320309422558123,0.17675566903207,0.5772713699184061,0.6855072135127018,0.568390011668392,0.3853282421644516,0.27837966204122355,0.15116542975320513,-0.04617447969306815,-0.05768364987037648,-0.03975561527313096,-0.02176349131060273,-0.026685660662870436,0.11896120457789192,0.022964244385186322,-0.11229506068177247,-0.00586691592937386,1.0,-0.22906414846102202,0.26219620633071333,0.5222319202740748,-0.08536686177117536,0.29194756269925154,0.7738323712090542,0.7178997327436345,0.5293882395975569,0.010219516375952219,0.012743652994887037,0.05261384027912939,0.002019068846918013,0.07092767250619393
