,age,height,weight,overall_rating,potential,total_attack,total_skill,total_movement,total_power,total_mentality,total_defending,total_goalkeeping,player_fifa_api_id,player_name
3155,26.0,187.96,170,76.0,78.0,120.0,128.0,255.0,245.0,139.0,75.0,375.0,194911,Adrian
3156,26.0,187.96,170,75.0,78.0,120.0,128.0,255.0,245.0,139.0,75.0,373.0,194911,Adrian
3157,26.0,187.96,170,76.0,78.0,120.0,128.0,255.0,245.0,139.0,75.0,372.0,194911,Adrian
3158,26.0,187.96,170,76.0,79.0,120.0,128.0,255.0,245.0,139.0,75.0,372.0,194911,Adrian
3159,26.0,187.96,170,76.0,79.0,103.0,106.0,255.0,239.0,126.0,44.0,372.0,194911,Adrian
3160,26.0,187.96,170,75.0,79.0,83.0,96.0,255.0,239.0,126.0,44.0,369.0,194911,Adrian
3165,23.0,187.96,170,57.0,64.0,79.0,92.0,240.0,207.0,126.0,34.0,281.0,194911,Adrian
3162,26.0,187.96,170,73.0,79.0,83.0,96.0,255.0,238.0,126.0,44.0,360.0,194911,Adrian
3163,26.0,187.96,170,73.0,79.0,83.0,96.0,255.0,238.0,126.0,44.0,360.0,194911,Adrian
3164,25.0,187.96,170,57.0,64.0,79.0,92.0,240.0,207.0,126.0,34.0,281.0,194911,Adrian
3154,26.0,187.96,170,76.0,78.0,120.0,128.0,255.0,245.0,139.0,75.0,377.0,194911,Adrian
3166,20.0,187.96,170,57.0,64.0,79.0,92.0,240.0,207.0,126.0,34.0,281.0,194911,Adrian
3161,26.0,187.96,170,73.0,79.0,83.0,96.0,255.0,238.0,126.0,44.0,360.0,194911,Adrian
3153,27.0,187.96,170,76.0,78.0,120.0,128.0,255.0,245.0,139.0,75.0,379.0,194911,Adrian
3145,27.0,187.96,170,77.0,77.0,120.0,128.0,255.0,245.0,152.0,75.0,381.0,194911,Adrian
3151,27.0,187.96,170,77.0,79.0,120.0,128.0,255.0,245.0,139.0,75.0,381.0,194911,Adrian
3152,27.0,187.96,170,77.0,78.0,120.0,128.0,255.0,245.0,139.0,75.0,381.0,194911,Adrian
3139,29.0,187.96,170,78.0,78.0,76.0,99.0,260.0,241.0,151.0,47.0,387.0,194911,Adrian
3141,29.0,187.96,170,78.0,78.0,76.0,99.0,256.0,241.0,133.0,47.0,388.0,194911,Adrian
3142,28.0,187.96,170,78.0,78.0,76.0,99.0,256.0,241.0,133.0,47.0,387.0,194911,Adrian
3143,28.0,187.96,170,78.0,78.0,76.0,99.0,256.0,241.0,133.0,47.0,386.0,194911,Adrian
3144,28.0,187.96,170,78.0,78.0,76.0,99.0,256.0,241.0,133.0,47.0,386.0,194911,Adrian
3140,29.0,187.96,170,78.0,78.0,76.0,99.0,256.0,241.0,148.0,47.0,388.0,194911,Adrian
3146,27.0,187.96,170,76.0,76.0,120.0,128.0,255.0,245.0,139.0,75.0,376.0,194911,Adrian
3147,27.0,187.96,170,76.0,76.0,120.0,128.0,255.0,245.0,139.0,75.0,379.0,194911,Adrian
3148,27.0,187.96,170,76.0,78.0,120.0,128.0,255.0,245.0,139.0,75.0,379.0,194911,Adrian
3149,27.0,187.96,170,76.0,79.0,120.0,128.0,255.0,245.0,139.0,75.0,379.0,194911,Adrian
3150,27.0,187.96,170,76.0,79.0,120.0,128.0,255.0,245.0,139.0,75.0,379.0,194911,Adrian
3270,25.0,172.72,161,78.0,86.0,338.0,380.0,394.0,372.0,344.0,207.0,62.0,164082,Adriano
3263,28.0,172.72,161,76.0,77.0,329.0,389.0,393.0,394.0,351.0,218.0,62.0,164082,Adriano
3264,28.0,172.72,161,76.0,77.0,329.0,389.0,393.0,394.0,351.0,218.0,62.0,164082,Adriano
3265,28.0,172.72,161,75.0,77.0,326.0,389.0,392.0,394.0,346.0,214.0,62.0,164082,Adriano
3266,27.0,172.72,161,75.0,82.0,326.0,376.0,392.0,359.0,349.0,214.0,62.0,164082,Adriano
3267,27.0,172.72,161,77.0,82.0,338.0,380.0,392.0,369.0,344.0,207.0,62.0,164082,Adriano
3268,26.0,172.72,161,78.0,82.0,338.0,380.0,403.0,369.0,344.0,207.0,62.0,164082,Adriano
3269,26.0,172.72,161,78.0,84.0,338.0,380.0,394.0,372.0,344.0,207.0,62.0,164082,Adriano
3262,28.0,172.72,161,76.0,77.0,329.0,389.0,393.0,394.0,351.0,218.0,62.0,164082,Adriano
3271,25.0,172.72,161,78.0,86.0,338.0,380.0,388.0,367.0,346.0,200.0,147.0,164082,Adriano
