,age,height,weight,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
acceleration,-0.22960671479733452,-0.5701069281499307,-0.5189888019630708,0.2623820931136805,0.38480125597648895,0.5102907258972411,0.40955399623765615,-0.3661187778519948,0.30345448031021893,0.3790451230589332,0.6360410949559159,0.47067169927693314,0.29430823758312685,0.21805697519443995,0.522335325490633,1.0,0.8845750225173095,0.7966091909277195,0.3515988367614621,0.637706334311182,0.23578798678681584,0.09694666383835301,0.3971167319060689,-0.4566047297172202,0.3780247230660549,-0.23595613058112294,-0.19434648392583545,0.5252634739599451,0.3876150310857791,0.28043401385220185,-0.2959648310413995,-0.2835339638022377,-0.2591129138130041,0.019608054496636905,0.04099158162017021,0.09357097750577843,0.07953953414389749,0.04921821751445585
sprint_speed,-0.22647909903228072,-0.43786973694663456,-0.4092681461075034,0.2825421401411149,0.39554671672366803,0.47064849498421285,0.36717080576795835,-0.2659141180308218,0.2475446945122879,0.3374956764925865,0.5774777045904405,0.39754185160351246,0.21422538065260974,0.15283970656669119,0.46363159322846503,0.8845750225173095,1.0,0.7041579965057122,0.34440851102992665,0.499784064348207,0.24358451125428365,0.10000535385132474,0.4320160019139228,-0.32844842815609226,0.32543782962928486,-0.17679835286801254,-0.16861963840629515,0.4927309791689137,0.3082093680671462,0.22744193141897426,-0.2594320021766678,-0.2403358165491714,-0.21863184764245916,0.032886236779297605,0.03598861051924381,0.08498129898932778,0.07010256138324554,0.04339523784622219
agility,-0.1461768308450206,-0.6720971274783182,-0.6172927139591563,0.24199581081819885,0.3246116664633793,0.5746723952234041,0.4620412421608589,-0.44407085921521106,0.40053514437894266,0.47842523645603563,0.6740807305128693,0.5810468272605778,0.40225618213340664,0.31530995712836646,0.5898434079450402,0.7966091909277195,0.7041579965057122,1.0,0.360119618855675,0.7012488474517117,0.24582786931470246,0.05780855327160687,0.29892837328844885,-0.5399270290522437,0.45246875005862397,-0.2879412093063057,-0.24192299419026098,0.5639329269216211,0.5280897099174644,0.346853539078615,-0.35009862628425376,-0.332569762719679,-0.30472797696685594,0.009225049060645368,0.036302892428798104,0.062401146431316674,0.07788677920196023,0.030081837191563134
reactions,0.29269951851205794,-0.09883942287569117,-0.09754446879474334,0.7595074077947293,0.6014151310212946,0.40687478608415834,0.3800028952661173,0.24096260349550877,0.5457303174110906,0.3959771008586626,0.45185127259851265,0.4121814254607891,0.3561098195575066,0.44617250133650566,0.5741437127874136,0.3515988367614621,0.34440851102992665,0.360119618855675,1.0,0.22471699866880795,0.44907683024438366,0.21482038157753625,0.3951407002499316,0.10273832829463928,0.436081372943433,0.264064097103582,0.22024809530107445,0.43487316604970794,0.4940264028291596,0.3848545660411544,0.07033008007397153,0.10402394498662344,0.08343703804585098,0.016569847374305238,0.02569659563200672,0.09676466874151425,0.0392378940472462,0.056085174446216
balance,-0.08716498449518005,-0.6939071609512116,-0.5790587724829497,0.14714708911947394,0.20516921824244772,0.46009413225528,0.28782999519955216,-0.43966043958333995,0.3132548669004193,0.28861645960596277,0.46890024081051557,0.44364281860638227,0.3268086379693241,0.2810752566994758,0.4136637387916393,0.637706334311182,0.499784064348207,0.7012488474517117,0.22471699866880795,1.0,0.13991676488092333,0.14661588138781811,0.20901740800040106,-0.5332239736436338,0.31728201487200236,-0.2089919870923951,-0.13317459202284965,0.41195110997528345,0.448629521732805,0.27723412689242655,-0.18128079418986132,-0.17449532573994397,-0.14385456005778044,-0.006743761089954396,0.062044312132921345,0.08918567328928084,0.09464432836007923,0.070188015416547
shot_power,0.2738824776983813,-0.08987463122055986,0.010058737301162596,0.5300344342468294,0.39357418451753146,0.42395388943986756,0.5710346299751257,0.19134105215291808,0.5081458101954146,0.552896615364277,0.5518910637451586,0.5160857584041939,0.5417838923020118,0.4072972980305508,0.5925113218530161,0.23578798678681584,0.24358451125428365,0.24582786931470246,0.44907683024438366,0.13991676488092333,1.0,0.03158160236092845,0.21319414844803586,0.13877674189134973,0.7339285959694771,0.11051087923505717,-0.05236676842714859,0.5276119126518835,0.4490324819938458,0.5239321837787257,-0.17088958851248176,-0.13021652085127167,-0.16211402923913282,0.09203153642860776,-0.07822705313058542,-0.02720683057822682,-0.04775551680970704,-0.09720549120303096
jumping,0.14201159077384273,0.05458531851598302,0.04882015820022543,0.1946773570979863,0.1144580336753411,-0.1001515157910001,-0.08140602403077996,0.3470164801992674,-0.018034541150471955,-0.024870121070772137,-0.10344577059378858,-0.09885522685754336,-0.14090059100134855,-0.05971549149817003,-0.024396859486878485,0.09694666383835301,0.10000535385132474,0.05780855327160687,0.21482038157753625,0.14661588138781811,0.03158160236092845,1.0,0.2690282871980949,0.2266837036517429,-0.09986856913286672,0.29797144423711736,0.244361955767852,-0.021230222537899114,-0.057535224543996226,-0.04853129899734519,0.2261595273124977,0.22663657818095073,0.2473952912062598,-0.029996294312238422,0.010268740993614833,0.052300731255276414,0.03622583510900087,0.026690180655873315
stamina,-0.011662108029382926,-0.10501703279533076,-0.12348605720031494,0.32781077175027484,0.29849870902082826,0.292906010521004,0.06567779911776561,0.05794147532241623,0.2807769425310605,0.06522877770943447,0.1957650954860003,0.1395166231987217,0.07934185158397093,0.2693082202465219,0.2471711043868297,0.3971167319060689,0.4320160019139228,0.29892837328844885,0.3951407002499316,0.20901740800040106,0.21319414844803586,0.2690282871980949,1.0,0.13126366657689262,0.17364798075830964,0.3461782095540573,0.3476644697325841,0.2507329651583945,0.21637671362758404,0.055383640908506296,0.2738555280553434,0.30335227646577373,0.3024308952811348,-0.0007005452140979485,0.045257009203202525,0.11530747139026777,0.052073087289113085,0.039116343999535536
strength,0.29412808973606946,0.6864767045764667,0.7115948512190541,0.24256233696451324,0.06785850111761318,-0.29585766035782063,-0.2149536427736758,0.6507715520498658,-0.05611848187178598,-0.16520879114060263,-0.3622888946335097,-0.29461616739973345,-0.16108957691850675,-0.048368802887307355,-0.2061336077864418,-0.4566047297172202,-0.32844842815609226,-0.5399270290522437,0.10273832829463928,-0.5332239736436338,0.13877674189134973,0.2266837036517429,0.13126366657689262,1.0,-0.12977947982998614,0.5752066204714107,0.3966718368919434,-0.23642203447163584,-0.21698883144457112,-0.09005826109359691,0.4034674652932295,0.4084943568461835,0.37415427017470987,0.00962576684817136,0.017004355965395464,0.03342080889612754,-0.04273839976282213,-0.01068337565935417
long_shots,0.18698439754894847,-0.2850107424399278,-0.18348592802978014,0.4491224390126085,0.37118270772194084,0.575709476004849,0.7487862790246081,-0.07630889687339786,0.5954140977558218,0.6885340037803206,0.7126176984154895,0.7038265002155387,0.7033913411781771,0.504024797491486,0.7101689635602254,0.3780247230660549,0.32543782962928486,0.45246875005862397,0.436081372943433,0.31728201487200236,0.7339285959694771,-0.09986856913286672,0.17364798075830964,-0.12977947982998614,1.0,-0.12947706253254074,-0.18078928374053632,0.6755525507101611,0.663602152024415,0.6197831651828031,-0.3502270047892206,-0.30683988321167105,-0.3362880787776038,0.041951678659539283,-0.014914902049683834,0.04470141622158623,0.03495700930054869,-0.040006719867501275
